Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
Turf Club,660,330,330,550,280,270,na,na,na,90,40,50,20,10,10
Tampines- Total,261230,128200,133030,175470,85610,89860,56010,27770,28240,21560,11010,10550,8200,3820,4380
Simei,42710,20720,21990,30950,14930,16030,5130,2520,2610,4810,2420,2400,1820,850,960
Tampines East,138500,67900,70600,89310,43580,45730,34020,16800,17220,10800,5500,5300,4360,2020,2340
Tampines North,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tampines West,78110,38610,39500,53600,26290,27300,16790,8410,8380,5800,3010,2790,1920,890,1030
Xilin,1920,970,950,1610,810,800,70,30,40,140,80,60,100,50,50
Tanglin- Total,19000,8770,10230,14160,6410,7750,190,80,110,1930,920,1010,2720,1360,1360
Chatsworth,5740,2640,3100,3960,1800,2160,50,20,30,860,400,460,870,430,440
Nassim,8340,3820,4510,6530,2930,3600,90,40,50,640,330,320,1080,530,540
Ridout,1400,650,760,1040,470,580,na,na,na,140,60,70,220,120,110
Tyersall,3520,1660,1860,2630,1220,1410,50,20,30,290,130,160,550,290,270
Tengah- Total,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tengah,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Toa Payoh- Total,124940,59840,65100,102230,48620,53610,9920,4910,5010,9290,4710,4570,3510,1600,1920
Bidadari,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Boon Teck,15110,7340,7770,11350,5480,5870,2280,1120,1160,1200,620,570,290,120,160
Braddell,10760,5160,5610,8360,3930,4430,1330,670,650,760,400,370,310,160,160
Joo Seng,6720,3360,3360,5780,2880,2900,240,120,110,550,290,270,150,70,80
Kim Keat,8610,4180,4430,7050,3420,3630,530,260,270,810,400,410,220,100,120
Lorong 8 Toa Payoh,8220,3970,4250,6730,3240,3490,760,370,380,540,280,270,190,80,100
Pei Chun,11780,5670,6120,9700,4650,5060,1010,500,510,730,380,350,340,140,200
Potong Pasir,12650,6260,6400,10330,5060,5270,680,350,330,1410,740,670,240,110,130
Sennett,4540,2160,2380,4100,1950,2150,70,30,40,280,140,140,90,40,50
Toa Payoh Central,30740,14410,16340,25390,11850,13540,2380,1170,1210,1990,940,1040,990,450,550
Toa Payoh West,13360,6140,7220,11230,5090,6150,620,310,320,900,470,430,600,280,320
Woodleigh,2440,1200,1240,2200,1080,1130,20,10,10,120,60,60,100,50,50
Tuas- Total,70,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tengeh,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas Bay,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas North,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas Promenade,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas View,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas View Extension,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Western Islands- Total,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jurong Island And Bukom,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Semakau,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sudong,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Western Water Catchment- Total,900,400,500,730,320,410,na,na,na,90,40,50,70,30,40
Western Water Catchment,900,400,500,730,320,410,na,na,na,90,40,50,70,30,40
Woodlands- Total,250290,125900,124380,153780,77070,76710,62310,31360,30960,27810,14480,13330,6380,3000,3380
Greenwood Park,70,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Midview,35510,17780,17730,21130,10550,10580,9680,4810,4870,3920,2060,1860,790,360,430
North Coast,14610,7450,7160,8140,4180,3960,4240,2130,2110,1950,1000,940,280,130,140
Senoko West,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Woodgrove,35850,17960,17880,22880,11330,11550,8340,4250,4090,3730,1970,1760,910,420,490
Woodlands East,95510,47840,47660,60560,30240,30320,21560,10760,10800,10730,5590,5150,2660,1260,1400
Woodlands Regional Centre,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Woodlands South,35840,17970,17860,21710,10790,10930,9130,4630,4500,3910,2010,1900,1080,540,540
Woodlands West,32890,16850,16040,19310,9960,9350,9360,4770,4590,3560,1840,1720,670,280,390
Yishun- Total,201970,99990,101980,142300,70230,72060,33940,16950,16990,20230,10310,9920,5510,2500,3010
Khatib,10850,5300,5550,8100,3980,4120,1390,670,710,1050,510,550,310,150,160
Lower Seletar,2870,1410,1450,2220,1090,1130,340,160,180,230,120,110,80,50,30
Nee Soon,900,440,470,790,380,420,30,10,10,50,30,20,30,20,10
Northland,30380,15130,15260,20070,10020,10040,6030,3000,3040,3190,1600,1580,1100,510,590
Springleaf,3880,1930,1940,3560,1780,1790,30,10,20,190,100,90,100,50,50
Yishun Central,1490,740,750,1200,590,610,140,70,70,130,70,60,30,10,20
Yishun East,54880,27190,27690,37680,18640,19040,10500,5210,5290,5350,2760,2600,1340,590,760
Yishun South,38840,19050,19790,28880,14130,14750,4960,2470,2490,4010,2020,2000,990,440,550
Yishun West,57890,28790,29090,39800,19630,20160,10520,5350,5180,6040,3110,2920,1530,700,830
